"GeneID","trtsCHBroca","trtsCHCaudate","trtsCHCerebellum","trtsCHPrefrontal","trtsHUBroca","trtsHUCaudate","trtsHUCerebellum","trtsHUPrefrontal","ChVsHu","CeVsBr","Interact","p ChVsHu","p CeVsBr","p Interact","adjp ChVsHu","adjp CeVsBr","adjp Interact"
"1056_s_at","4.24913720107277","4.16454937211634","5.12425558046683","4.33135753146578","4.09405943945912","4.17762748069901","4.91760998931685","4.17094691174834","0.127263965974603","0.849334464625895","0.0515678295363298","0.139521384563574","2.88442714328213e-13","0.630217543189514","1","6.62107139707944e-11","1"
"1057_at","5.79350271516638","5.85909096228571","5.74600437555745","5.79882753389463","5.88282134488834","6.1373668647571","5.73239579081638","5.94848455463242","-0.125910742047518","-0.0989619468404466","0.102927214463029","0.299078552720493","0.203056471120452","0.501890563536948","1","0.981340288846131","1"
"1058_at","8.29269474297873","8.31084886965459","8.29235960950179","8.39619338976093","8.53107960399957","8.41498408110708","8.76918184435164","8.55560787042167","-0.244689196995981","0.118883553437565","-0.238437373829019","0.0870448725140861","0.18534546768556","0.184160701617283","1","0.913462535925906","1"
"1059_at","6.33099486843692","6.30178184405218","6.0708063240461","6.30656186186955","6.37220545377371","6.28164181522415","6.04503619392945","6.41399826887984","-0.0256842083506001","-0.293678902117541","0.0669807154534405","0.802483663908243","0.000176466721004078","0.609459549087409","1","0.00253842653172406","1"
"106_at","5.22452092231199","5.14979970052029","5.13859536892417","5.15228634529145","5.10739051913808","5.08896406008756","5.08312658934212","4.99298246254484","0.0981846764838239","-0.0550947415918905","-0.0616616235918634","0.223764786533337","0.28189552007206","0.543182179077675","1","1","1"
"1060_g_at","7.57391252765622","7.69665440047995","7.57000368456207","7.60805983495762","7.64222830323491","7.75657881390408","7.3564082928072","7.64539163246911","0.0120058513101424","-0.144864426760933","0.281911167333553","0.885394774508736","0.0116479184651603","0.0137477270392811","1","0.0955729878396765","0.797266356796951"
"1061_at","6.64511591371626","6.58749994285172","6.49771180732","6.59693305702276","6.47888033511914","6.5416198785906","6.48941846661155","6.31270565478583","0.126159096450909","-0.0684329874519252","-0.157942237888665","0.221242934261483","0.295144077073891","0.229009560272103","1","1","1"
"1062_g_at","4.90259064913757","4.84954519547696","4.61049819355175","4.84075572102806","4.60494066759522","4.76726736967663","4.42230517648128","4.48395806166405","0.231229620944293","-0.23736397334988","-0.109456964471875","0.0405388192799266","0.00204610829407486","0.42630320856737","0.746616536699103","0.0213783039001615","1"
"1063_s_at","8.96335120146839","8.37887120429181","8.99704315248818","8.97579154098976","8.94764900074249","8.54426309078627","8.93111928887812","8.98410441206495","-0.0230196733084194","0.00858111957770813","0.0502216628841641","0.789424086839724","0.875724665743363","0.647943858993079","1","1","1"
"1064_at","4.86102803054865","5.23127532549085","4.9710437609957","4.91099571391879","5.02148652514867","5.30432487188148","4.99614361256389","5.25891248584794","-0.151631166121993","0.0423364089311353","0.135358643031833","0.403553673881996","0.712361439063123","0.556613162693303","1","1","1"
